Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
3,BAB27,49.58368027,1.706910908,18.19317236,8.701082431,6.900499584,10.86594505,3.039134055,1.009575354,0.702956,0.513073,18.0123,15.4551,37.828,10.7,23.7,14.3,3.92,4.95,2.92,0.45,95.8,3.13,15.9,13,290,1.04,1.23,31.6,136
3,BAB28,49.94261868,1.742305686,17.84037559,8.648930621,6.53103808,10.76682316,3.307250913,1.220657277,0.702999,0.513076,18.0098,15.4554,37.821,11.2,24.9,14.9,4.12,4.89,2.93,0.42,119,3.16,17,16.9,282,1.06,1.25,33.5,135
3,BAB29,52.20223325,1.354425145,17.23531844,8.777915633,6.834160463,9.274193548,3.680727874,0.641025641,0.702844,0.513164,17.9996,15.455,37.788,4.96,15.4,12,3.59,4.35,3.08,0.47,37.2,2.79,1.85,8.73,203,0.17,0.32,33,135
3,BAB30,64.64177598,0.544904137,16.49848638,5.721493441,1.685166498,4.823410696,4.480322906,1.60443996,0.702986,0.513013,18.1416,15.4941,38.017,16.3,37.6,20.8,4.75,4.93,3.38,0.54,160,2.9,6.85,41.7,335,0.52,2.48,33.8,123
3,BAB31,61.36989094,0.744062787,17.31729691,6.553868107,2.364692692,5.646723066,3.638772806,2.364692692,0.703014,0.513039,18.1837,15.475,37.978,15.1,32.4,16.1,3.76,3.65,2.62,0.43,170,3.51,6.02,56.3,376,0.5,2.46,25.9,138
3,BAB32,61.47966983,0.733720575,17.3851014,6.389483338,2.231733415,5.584428819,3.739936819,2.455925813,0.70301,0.513044,18.188,15.4799,37.99,15,31.9,16.4,3.73,3.87,2.65,0.43,170,3.01,5.79,59.9,392,0.49,2.41,26.5,136
3,BAB33,48.90165256,0.866586054,17.90608626,9.270455462,5.794034663,14.84280532,2.267230955,0.15114873,0.702633,0.513151,18.0186,15.448,37.745,3.96,6.93,7.85,2.5,3.38,2.33,0.36,9.33,1.27,0.78,2.55,230,0.072,0.1,26.6,45.4
3,BAB34,53.86856913,1.024919614,19.65434084,8.983118971,2.753215434,9.726688103,3.074758842,0.914389068,0.70299,0.513033,18.2885,15.5115,38.167,7.77,19.5,13.7,3.81,4.22,2.7,0.4,87.6,1.94,1.65,16.4,382,0.13,1.15,28.8,70.2
3,BAB35,53.57540204,1.041772024,19.43966825,8.688176393,2.740972995,10.36714878,3.135430363,1.011429149,0.702995,0.513032,18.2857,15.5079,38.154,7.83,19.6,13.4,3.8,4.23,2.73,0.41,87,1.9,1.59,15.8,408,0.13,1.12,28.2,68.4
3,BAB36,49.64539007,0.849066027,16.25212267,10.02896814,7.831385476,13.0556388,2.077714514,0.259714314,0.702746,0.51307,18.0352,15.457,37.842,11.1,13.8,15.2,3.74,5.17,2.96,0.45,19.3,1.62,1,4.59,344,0.13,0.42,36.8,63.8
