SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation,Member,MemberID,Source,FormationID,Polarity
52.12,2.31,17.95,13.69,,,0.117,2.63,7.54,2.86,0.26,0.338,6.0,62.0,43.0,258.0,377.0,6.0,353.0,184.0,37.0,15.1,26.0,23.0,114.0,3.0,19.0,59.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
53.92,2.558,13.7,12.8,,,0.171,3.95,6.94,3.59,1.69,0.438,7.0,18.0,43.0,439.0,636.0,45.0,315.0,187.0,38.0,14.0,25.0,18.0,130.0,5.0,18.0,40.0,8.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.79,2.202,14.39,10.69,,,0.21,4.04,8.54,3.05,1.52,0.329,16.0,39.0,34.0,397.0,539.0,37.0,351.0,186.0,36.0,12.4,23.0,65.0,115.0,6.0,31.0,48.0,2.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.42,2.372,14.25,11.09,,,0.158,4.13,8.52,3.03,1.39,0.389,38.0,49.0,35.0,341.0,525.0,37.0,362.0,186.0,36.0,14.2,19.0,76.0,118.0,10.0,17.0,42.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.27,2.337,14.18,12.14,,,0.192,3.42,7.12,3.13,1.52,0.446,4.0,25.0,36.0,344.0,651.0,32.0,327.0,186.0,40.0,15.5,23.0,10.0,128.0,9.0,20.0,51.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.13,1.997,13.97,10.49,,,0.174,3.29,6.95,3.27,2.14,0.331,0.5,13.0,35.0,323.0,768.0,56.0,317.0,186.0,37.0,12.9,21.0,6.0,121.0,9.0,27.0,47.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.33,2.285,13.89,12.0,,,0.19,4.23,7.99,3.13,1.37,0.379,41.0,46.0,33.0,298.0,527.0,23.0,343.0,186.0,36.0,15.6,21.0,71.0,109.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.38,2.218,13.86,11.78,,,0.174,3.08,6.71,2.97,2.17,0.414,18.0,16.0,31.0,328.0,727.0,60.0,353.0,186.0,38.0,11.8,23.0,14.0,126.0,5.0,26.0,61.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.69,2.175,13.85,12.13,,,0.239,3.95,7.33,3.48,1.48,0.439,21.0,19.0,37.0,331.0,606.0,31.0,347.0,186.0,39.0,14.9,23.0,66.0,119.0,9.0,22.0,49.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.18,2.388,13.81,10.99,,,0.19,3.52,7.14,3.3,1.77,0.452,3.0,15.0,28.0,383.0,811.0,42.0,336.0,186.0,40.0,15.5,25.0,22.0,127.0,6.0,24.0,46.0,10.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.22,2.526,13.75,11.78,,,0.348,3.48,7.05,3.42,1.71,0.468,8.0,18.0,40.0,399.0,665.0,45.0,307.0,186.0,44.0,14.2,18.0,19.0,127.0,7.0,27.0,55.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.25,2.463,15.77,8.11,,,0.121,3.08,7.36,3.52,1.6,0.427,11.0,12.0,39.0,389.0,980.0,42.0,397.0,184.0,42.0,11.7,24.0,14.0,171.0,7.0,26.0,49.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
56.09,2.387,13.66,11.45,,,0.194,3.38,7.04,3.18,1.92,0.449,3.0,10.0,35.0,363.0,720.0,49.0,323.0,186.0,40.0,16.0,23.0,18.0,131.0,11.0,16.0,60.0,7.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
55.84,2.068,14.54,11.05,,,0.176,3.75,7.34,3.27,1.45,0.283,8.0,24.0,31.0,351.0,622.0,39.0,329.0,185.0,37.0,14.2,23.0,21.0,118.0,8.0,26.0,66.0,4.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
57.41,2.159,14.43,8.87,,,0.164,3.69,7.61,3.1,1.97,0.329,6.0,6.0,34.0,335.0,890.0,48.0,367.0,185.0,42.0,10.8,22.0,25.0,126.0,7.0,22.0,48.0,5.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
54.39,2.148,13.94,11.94,,,0.195,4.35,8.02,3.01,1.45,0.336,9.0,39.0,29.0,338.0,529.0,39.0,333.0,185.0,36.0,15.0,21.0,65.0,112.0,8.0,11.0,62.0,3.0,,GrandeRonde,Undifferentiated,47,WolffDatabase,3.0,
