SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
49.82,2.177,15.83,0.154,5.64,9.06,3.06,0.82,0.38,127.8,73.4,26.1,273.9,413.9,14.7,508.7,190.4,31.8,13.8,74.6,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.2,2.288,16.02,0.168,6.4,8.61,3.08,0.74,0.393,114.6,23.1,22.1,259.5,277.0,12.4,484.9,175.9,30.5,13.1,79.0,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.23,1.747,15.91,0.138,6.44,8.73,3.03,0.96,0.3,127.0,73.8,23.1,233.4,409.6,13.3,473.2,167.5,27.5,12.2,49.0,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.72517879,2.626107795,13.53008711,0.220919512,3.877316508,7.749967,3.393616357,1.853728567,0.406506228,15.1755,69.4455,39.4965,401.598,596.367,40.5015,358.383,213.663,43.215,12.3615,215.7735,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.59484411,2.652324161,13.53348233,0.216749377,3.945330539,7.730629549,3.565856526,1.776922126,0.40563272,12.7635,68.139,41.004,418.08,586.6185,37.989,359.2875,211.1505,41.004,13.065,203.412,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.58473271,2.652326445,13.52569047,0.216253464,3.953465432,7.725616328,3.545527939,1.773698841,0.405036865,16.08,68.34,38.8935,418.08,585.111,37.386,360.192,209.7435,41.1045,12.1605,204.5175,Steens,UpperSteens,1,Moore2018,0.0,1.0
52.60529865,2.624117404,13.67190191,0.214468382,4.027520154,7.791332415,3.353408035,1.773900176,0.37882838,15.9795,74.772,40.2,420.09,615.5625,39.2955,367.629,209.3415,40.2,12.462,184.2165,Steens,UpperSteens,1,Moore2018,0.0,1.0
48.42222505,2.676328828,15.24579364,0.200880943,5.409499789,8.600914122,3.458023376,1.176924698,0.41857209,78.4,58.4,32.0,420.3,485.9,19.2,466.6,184.3,34.5,10.3,317.8,Steens,UpperSteens,1,Moore2018,0.0,1.0
51.89,2.644,14.62,0.163,4.17,7.9,3.12,1.7,0.519,54.0,21.5,23.9,283.9,658.0,37.4,445.7,269.4,41.1,20.8,87.3,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
51.05,2.28,15.02,0.168,3.85,8.13,2.99,1.14,0.455,34.3,0.3,25.1,288.8,709.5,33.7,555.5,243.3,36.5,16.1,18.2,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.95,2.202,15.73,0.136,4.78,8.24,3.31,1.25,0.489,85.1,42.5,21.5,240.9,604.9,15.8,524.4,236.0,35.1,16.8,42.1,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.39,2.531,16.25,0.149,5.33,8.42,3.25,1.01,0.458,118.7,35.5,20.2,266.3,377.6,22.3,487.3,212.1,33.9,16.2,94.3,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.93,2.557,17.35,0.183,4.06,9.13,3.38,0.75,0.467,80.8,31.8,25.1,244.8,444.5,7.8,579.2,210.6,33.6,15.8,92.4,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.99,2.146,16.61,0.154,5.76,9.01,3.16,0.87,0.334,81.8,22.7,24.8,272.2,332.6,13.1,493.6,174.4,29.0,13.2,44.5,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.85,2.77,15.62,0.21,5.07,8.5,3.55,1.22,0.51,74.0,62.0,27.65,328.0,446.0,19.0,527.0,215.0,39.0,13.0,255.0,Steens,UpperSteens,1,Day2021,0.0,1.0
48.07,2.04,15.73,0.19,7.54,9.5,2.76,0.61,0.24,140.0,143.0,25.84,297.0,172.0,10.0,367.0,136.0,26.0,8.0,167.0,Steens,UpperSteens,1,Day2021,0.0,1.0
49.9,1.76,14.3,0.2,5.86,10.6,3.09,0.56,0.28,42.0,157.0,43.81,335.0,267.0,4.0,259.0,109.0,33.0,8.0,176.0,Steens,UpperSteens,1,Day2021,0.0,1.0
