SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Formation,Member,MemberID,Source,FormationID,Polarity
51.71,2.608,15.52,0.195,4.46,8.01,3.34,2.16,0.595,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.59,2.95,14.47,0.21,4.9,8.17,3.55,1.63,0.577,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.55,2.94,14.56,0.214,4.91,8.24,3.42,1.67,0.569,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
52.14,2.66,15.33,0.196,4.03,7.36,3.87,1.77,0.592,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.39,2.531,16.25,0.149,5.33,8.42,3.25,1.01,0.458,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.93,2.557,17.35,0.183,4.06,9.13,3.38,0.75,0.467,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.03,2.191,18.25,0.156,4.73,9.26,3.66,0.95,0.395,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.99,2.146,16.61,0.154,5.76,9.01,3.16,0.87,0.334,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.85,2.127,15.73,0.184,5.73,9.47,3.14,1.25,0.399,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.82,2.335,16.38,0.173,5.8,9.1,3.21,0.85,0.322,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
49.82,2.181,15.82,0.177,6.05,9.67,3.17,0.68,0.373,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.69,1.731,17.52,0.167,4.57,9.24,3.43,1.04,0.369,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
48.91,1.797,16.12,0.183,7.06,10.0,3.09,0.51,0.289,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.36,1.007,17.33,0.194,7.82,10.47,2.39,0.2,0.12,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.27,1.392,18.58,0.156,5.18,10.33,3.26,0.63,0.234,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.55,0.979,16.48,0.181,9.51,9.9,2.28,0.23,0.115,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.94,0.984,16.51,0.171,9.75,9.96,2.37,0.25,0.113,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
47.85,2.77,15.62,0.21,5.07,8.5,3.55,1.22,0.51,Steens,UpperSteens,1,Day2021,0.0,1.0
48.07,2.04,15.73,0.19,7.54,9.5,2.76,0.61,0.24,Steens,UpperSteens,1,Day2021,0.0,1.0
49.9,1.76,14.3,0.2,5.86,10.6,3.09,0.56,0.28,Steens,UpperSteens,1,Day2021,0.0,1.0
47.54,1.75,15.56,0.15,9.27,9.89,2.59,0.48,0.22,Steens,UpperSteens,1,Day2021,0.0,1.0
47.59,1.79,15.35,0.2,8.51,10.19,2.61,0.39,0.22,Steens,UpperSteens,1,Day2021,0.0,1.0
47.54,2.08,16.07,0.19,7.12,9.6,2.91,0.6,0.29,Steens,UpperSteens,1,Day2021,0.0,1.0
48.69,2.63,14.9,0.22,4.99,8.5,3.38,1.34,0.49,Steens,UpperSteens,1,Day2021,0.0,1.0
47.87,2.4,15.68,0.18,6.25,8.98,3.02,0.77,0.34,Steens,UpperSteens,1,Day2021,0.0,1.0
47.96,1.99,15.82,0.17,7.89,9.68,2.93,0.57,0.25,Steens,UpperSteens,1,Day2021,0.0,1.0
47.71,2.07,15.37,0.2,7.52,10.5,2.55,0.44,0.26,Steens,UpperSteens,1,Day2021,0.0,1.0
49.86,2.048,16.82,0.179,5.72,8.27,3.53,1.12,0.376,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.69,2.347,14.2,0.185,5.62,9.92,3.14,0.7,0.312,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
51.92,2.026,14.63,0.171,5.38,8.92,3.42,1.12,0.354,Steens,UpperSteens,1,Camp2013Sections,0.0,1.0
50.06,2.23,15.74,0.19,5.15,8.45,3.51,1.33,0.44,Steens,UpperSteens,1,Day2021,0.0,1.0
