SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
50.86,2.271,14.09,14.31,0.309,4.48,7.85,3.41,1.8,0.392,43,35,35,320,635,27,53,6,GrandeRonde,2
55.8,1.936,13.91,11.72,0.187,3.73,7.14,3.33,1.68,0.334,37,21,45,306,638,27,53,6,GrandeRonde,2
55.73,1.984,13.9,11.92,0.193,3.65,7.12,3.21,1.73,0.341,38,37,45,307,638,27,53,6,GrandeRonde,2
55.05,2.12,13.99,12.43,0.199,3.62,7.25,3.13,1.62,0.367,36,21,45,315,640,27,53,6,GrandeRonde,2
55.66,1.984,13.92,11.97,0.188,3.64,7.18,3.24,1.68,0.324,38,22,46,318,642,27,53,6,GrandeRonde,2
55.47,2.035,13.96,12.21,0.201,3.61,7.17,3.19,1.56,0.373,33,22,44,322,645,27,53,6,GrandeRonde,2
55.75,1.931,14.04,11.8,0.191,3.74,7.21,3.16,1.64,0.322,35,33,49,314,647,27,53,6,GrandeRonde,2
53.86,2.194,13.96,12.61,0.212,3.94,8.04,3.04,1.5,0.377,35,30,38,339,648,27,53,6,GrandeRonde,2
55.33,2.209,13.32,13.02,0.195,3.34,6.94,3.33,1.7,0.388,38,17,43,320,649,27,53,6,GrandeRonde,2
55.59,2.004,13.82,12.1,0.198,3.68,7.06,3.21,1.77,0.349,35,26,48,303,657,27,53,6,GrandeRonde,2
55.83,2.006,13.96,12.11,0.187,3.61,6.73,3.31,1.68,0.346,36,26,46,308,666,27,53,6,GrandeRonde,2
55.72,2.089,13.81,12.09,0.196,3.45,7.13,3.27,1.68,0.342,32,13,46,318,666,27,53,6,GrandeRonde,2
54.83,2.098,13.77,12.28,0.204,3.81,7.46,3.39,1.58,0.349,34,11,41,310,670,27,53,6,GrandeRonde,2
54.96,2.094,13.75,12.27,0.203,3.77,7.4,3.39,1.57,0.351,34,11,41,307,671,27,53,6,GrandeRonde,2
54.86,2.109,13.84,12.19,0.205,3.82,7.43,3.39,1.59,0.35,33,11,41,309,672,27,53,6,GrandeRonde,2
56.02,2.044,14.45,11.29,0.17,3.22,6.92,3.53,1.77,0.347,38,22,49,329,683,27,53,6,GrandeRonde,2
56.37,1.964,13.84,11.57,0.19,3.35,7.02,3.22,1.93,0.317,34,20,56,305,686,27,53,6,GrandeRonde,2
56.28,2.013,13.63,12.03,0.19,3.4,6.81,3.29,1.79,0.338,29,10,49,316,689,27,53,6,GrandeRonde,2
56.38,1.918,13.98,11.12,0.188,3.65,7.05,3.44,1.72,0.325,32,8,49,312,694,27,53,6,GrandeRonde,2
56.05,2.011,13.91,11.56,0.194,3.54,7.17,3.38,1.62,0.35,31,10,48,319,696,27,53,6,GrandeRonde,2
55.73,2.046,13.85,11.79,0.19,3.62,7.08,3.42,1.69,0.355,33,13,44,317,697,27,53,6,GrandeRonde,2
54.26,2.236,14.04,12.51,0.208,3.49,7.36,3.26,2.03,0.359,32,7,43,321,720,27,53,6,GrandeRonde,2
56.53,1.791,13.98,11.07,0.186,3.55,7.08,3.47,1.8,0.327,30,10,53,317,729,27,53,6,GrandeRonde,2
55.88,2.156,13.49,12.19,0.195,3.32,6.96,3.37,1.84,0.357,31,7,53,309,733,27,53,6,GrandeRonde,2
56.63,1.933,13.81,11.34,0.188,3.37,6.8,3.42,1.98,0.309,30,4,54,298,736,27,53,6,GrandeRonde,2
56.2,1.922,13.86,11.51,0.193,3.59,7.12,3.35,1.7,0.323,32,7,45,310,836,27,53,6,GrandeRonde,2
55.07,1.966,14.42,10.41,0.205,4.11,8.81,3.04,1.36,0.395,34,44,30,319,531,29,53,6,GrandeRonde,2
54.3,2.246,13.88,12.39,0.195,3.81,7.86,3.19,1.47,0.386,36,18,37,344,681,29,53,6,GrandeRonde,2
54.48,2.59,14.36,12.21,0.177,3.44,7.27,3.04,1.6,0.563,39,21,46,341,740,38,53,6,GrandeRonde,2
51.21,3.285,13.56,13.32,0.225,4.49,8.64,2.96,1.35,0.705,40,33,29,308,558,1,54,6,Wanapum,1
51.22,3.286,13.56,13.33,0.225,4.49,8.63,2.96,1.34,0.705,40,33,29,308,558,1,54,6,Wanapum,1
52.87,3.222,13.64,12.56,0.184,3.76,8.78,2.95,1.18,0.597,42,27,25,326,654,11,54,6,Wanapum,1
54.65,1.761,14.86,9.41,0.184,4.99,9.25,3.19,1.21,0.282,44,86,31,324,489,13,54,6,GrandeRonde,2
54.29,2.193,13.72,11.56,0.194,4.78,7.89,3.33,1.47,0.345,31,41,39,326,567,20,54,6,GrandeRonde,2
54.58,2.064,13.99,11.56,0.166,4.82,8.14,2.71,1.47,0.311,30,45,44,210,386,21,54,6,SaddleMountains,0
54.06,1.887,14.04,11.54,0.208,4.8,8.62,2.95,1.29,0.394,35,50,29,305,490,22,54,6,GrandeRonde,2
51.5,3.292,13.42,13.66,0.321,3.74,8.89,2.9,1.32,0.713,48,32,29,320,614,27,54,6,Wanapum,1
56.41,2.442,14.29,10.57,0.161,3.22,6.92,3.35,1.91,0.457,33,0.1,49,355,888,29,54,6,GrandeRonde,2
57.32,2.294,15.22,8.83,0.126,2.84,7.56,3.18,1.88,0.433,38,14,48,392,1145,29,54,6,GrandeRonde,2
55.85,2.06,13.68,12.25,0.2,3.4,6.93,3.06,1.94,0.374,31,13,51,317,746,30,54,6,GrandeRonde,2
49.71,3.293,14.12,12.64,0.21,4.82,10.29,2.82,1.1,0.768,44,97,23,310,483,9,55,6,Wanapum,1
49.7,3.29,14.12,12.64,0.21,4.82,10.29,2.82,1.1,0.773,44,97,23,310,483,9,55,6,Wanapum,1
55.41,1.957,14.37,10,0.199,4.24,8.8,3.03,1.39,0.393,32,45,30,325,545,18,55,6,GrandeRonde,2
55.83,2.396,13.79,11.17,0.212,3.42,7.15,3.21,2.08,0.485,30,24,48,323,766,18,55,6,GrandeRonde,2
52.68,3.122,13.14,13.25,0.175,4.33,8.12,2.97,1.39,0.577,38,32,33,294,566,20,55,6,Wanapum,1
50.07,3.581,12.97,15.06,0.25,4.34,8.58,2.66,1.46,0.778,35,26,31,290,632,22,55,6,Wanapum,1
56.65,2.228,13.38,12.11,0.19,2.96,6.59,3.07,2.26,0.323,30,5,57,319,686,22,55,6,GrandeRonde,2
56.77,2.213,13.45,11.96,0.189,3.03,6.61,3.24,1.97,0.32,29,0.1,54,314,719,23,55,6,GrandeRonde,2
54.66,2.51,13.85,12.17,0.196,3.49,7.37,3.13,1.92,0.445,32,2,46,327,727,25,55,6,GrandeRonde,2
56.04,2.152,13.7,11.47,0.21,3.55,7.25,3.31,1.7,0.372,29,69,39,307,597,26,55,6,GrandeRonde,2
