Trend,Volcano,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),PB206_PB204,PB207_PB204,PB208_PB204
1,3,47.16,1.88,9.54,8.04,17.75,0.14,0.34,1.65,0.18,18.52,15.49,38.14
1,3,47.93,1.77,10.57,9.03,16.5,0.14,0.32,1.67,0.17,18.52,15.48,38.11
1,3,49.55,2.73,12.6,10.09,9.27,0.17,0.564,2.39,0.3,,,
1,3,50.26,2.353,12.98,10.58,8.65,0.17,0.406,2.24,0.224,18.41,15.47,38.08
1,3,50.27,2.275,12.87,10.5,8.55,0.18,0.386,2.17,0.222,18.41,15.47,38.07
1,3,50.82,2.337,13.09,10.62,8.11,0.18,0.39,2.15,0.225,18.42,15.47,38.07
1,3,50.33,2.32,13.02,10.64,7.98,0.17,0.4,2.36,0.227,18.40,15.47,38.07
1,3,50.79,2.338,13.11,10.68,7.9,0.17,0.391,2.03,0.224,18.41,15.47,38.07
1,3,51.01,2.349,13.23,10.76,7.55,0.18,0.4,2.23,0.229,18.41,15.47,38.07
1,3,50.58,2.4,13.37,10.91,7.41,0.17,0.416,2.34,0.235,18.41,15.47,38.08
1,3,50.2,2.34,13.19,10.66,7.36,0.17,0.4,2.89,0.23,18.41,15.47,38.07
1,3,51.01,2.361,13.33,10.88,7.23,0.18,0.405,2.31,0.228,18.41,15.47,38.07
1,3,50.79,2.38,13.34,10.75,7.2,0.18,0.397,2.22,0.231,18.42,15.47,38.07
1,3,50.82,2.41,13.48,10.81,7.16,0.17,0.404,2.27,0.235,18.42,15.47,38.07
1,3,50.92,2.436,13.56,10.82,6.99,0.18,0.417,2.3,0.239,18.41,15.47,38.07
1,3,50.89,2.43,13.52,10.79,6.91,0.18,0.415,2.5,0.23,18.41,15.47,38.07
1,3,50.98,2.492,13.63,10.85,6.69,0.18,0.425,2.44,0.239,18.42,15.47,38.08
1,3,51.73,2.57,13.74,10.47,6.68,0.178,0.433,2.6,0.24,,,
1,3,47.46,1.76,9.7,8.12,17.98,0.17,0.28,1.72,0.17,18.59,15.54,38.26
1,3,47.97,1.82,10.17,8.58,16.11,0.18,0.24,1.77,0.17,18.54,15.54,38.17
1,3,50.48,2.76,13.67,10.76,6.71,0.17,0.5,2.37,0.32,18.86,15.61,38.54
1,3,49.26,2.19,11.78,9.96,11.38,0.18,0.35,2.02,0.2,18.50,15.52,38.14
1,3,49.4,2.41,12.7,10.45,9.62,0.18,0.38,2.22,0.22,18.54,15.51,38.14
1,3,50.29,2.28,13.07,10.95,8.17,0.18,0.33,2.28,0.21,18.60,15.55,38.25
1,3,49.83,3.03,13.59,11,7.15,0.17,0.54,2.38,0.32,18.47,15.58,38.24
1,3,49.71,2.76,13.8,10.94,6.95,0.18,0.5,2.33,0.27,18.64,15.58,38.42
1,3,50.2,2.6,13.54,10.66,6.87,0.18,0.47,2.22,0.25,18.44,15.50,38.13
1,3,49.7,2.48,13.26,11.82,7.08,0.19,0.37,2.18,0.3,18.36,15.50,38.05
1,3,48.12,3.19,13.2,10.25,8.12,0.18,0.66,2.54,0.33,18.74,15.51,38.35
1,3,50.05,2.32,12.88,11.08,8.25,0.19,0.43,2.05,0.28,18.41,15.52,38.13
1,3,47.75,1.94,11.42,10.41,12.93,0.18,0.28,1.82,0.29,,,
1,,,,,,,,,,,,,
1,4,49.25,2.89,13.22,10.92,7.43,0.18,0.56,2.51,0.31,18.43,15.49,38.01
1,4,45.63,1.54,7.27,6.66,23.77,0.18,0.26,1.47,0.16,,,
1,4,45.39,1.49,7.4,6.86,23.99,0.17,0.19,1.33,0.15,,,
1,4,47.67,1.97,9.64,8.01,18.03,0.17,0.23,1.65,0.2,18.61,15.48,38.24
